[2024-01-24 22:34:28,285 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 07: Active account
[2024-01-24 22:34:28,594 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 08: Switch to confirm page
[2024-01-24 22:34:31,644 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 09: Open login page
[2024-01-24 22:34:32,454 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 10: Login page
[2024-01-24 22:34:33,995 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 11: Open time table
[2024-01-24 22:34:34,642 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 12: Click on route Quang Ngai - Hue
[2024-01-24 22:34:35,338 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 13: Select departure
[2024-01-24 22:34:35,477 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:35,477 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 14: Select arrival
[2024-01-24 22:34:35,607 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:35,607 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 15: Select depart date
[2024-01-24 22:34:35,979 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 16: Select ticket amount
[2024-01-24 22:34:36,337 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 17: Click book button
[2024-01-24 22:34:37,301 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 18: Verify success MSG
[2024-01-24 22:34:37,375 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:37,375 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 19: Verify depart station infor
[2024-01-24 22:34:37,449 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:37,449 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 20: Verify arrive station infor
[2024-01-24 22:34:37,513 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:37,513 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 21: Verify depart date infor
[2024-01-24 22:34:37,572 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:37,572 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 22: Verify amount infor
[2024-01-24 22:34:37,613 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:34:37,614 INFO safe.railway.user.User_01_Login_Logout] - TC15 - Step 23: Click to logout button
[2024-01-24 22:34:38,864 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 01: Login page
[2024-01-24 22:34:39,835 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 02: Open register page
[2024-01-24 22:34:40,491 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 03: Create new account
[2024-01-24 22:34:43,351 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 04: oOpen guerrilla mail page
[2024-01-24 22:34:43,351 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 05: get guerrillamail link 
[2024-01-24 22:34:44,589 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 06: open detail mail
[2024-01-24 22:34:55,546 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 07: Active account
[2024-01-24 22:34:55,804 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 08: Switch to confirm page
[2024-01-24 22:34:58,845 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 09: Open login page
[2024-01-24 22:34:59,576 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 10: Login page
[2024-01-24 22:35:01,235 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 11: Open book ticket tab
[2024-01-24 22:35:01,911 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 12: Select depart date
[2024-01-24 22:35:02,323 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 13: Select departure
[2024-01-24 22:35:04,685 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 14: Select arrival
[2024-01-24 22:35:05,047 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 15: Select seat type
[2024-01-24 22:35:05,422 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 16: Select ticket amount
[2024-01-24 22:35:05,568 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 17: Click book button
[2024-01-24 22:35:06,651 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 18: Open my ticket page
[2024-01-24 22:35:07,376 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 19: Click cancel button
[2024-01-24 22:35:07,651 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 20: Click ok button
[2024-01-24 22:35:07,702 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 21: Verify cancelled ticket is undisplayed
[2024-01-24 22:35:07,766 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-24 22:35:07,767 INFO safe.railway.user.User_01_Login_Logout] - TC16 - Step 22: Click to logout button
[2024-01-24 22:35:39,257 INFO safe.railway.user.User_01_Login_Logout] - TC01 - Step 01: Open login page
[2024-01-24 22:35:40,035 INFO safe.railway.user.User_01_Login_Logout] - TC01 - Step 02: Login page
[2024-01-24 22:35:41,944 INFO safe.railway.user.User_01_Login_Logout] - TC01 - Step 03: Verify register success
[2024-01-24 22:35:42,026 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:35:42,026 INFO safe.railway.user.User_01_Login_Logout] - TC01 - Step 04: Click to logout button
[2024-01-24 22:35:43,582 INFO safe.railway.user.User_01_Login_Logout] - TC02 - Step 01: Open login page
[2024-01-24 22:35:44,321 INFO safe.railway.user.User_01_Login_Logout] - TC02 - Step 02: Enter password
[2024-01-24 22:35:44,600 INFO safe.railway.user.User_01_Login_Logout] - TC02 - Step 03: Click login button
[2024-01-24 22:35:45,415 INFO safe.railway.user.User_01_Login_Logout] - TC02- Step 04: Verify error message displays
[2024-01-24 22:35:45,515 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:35:45,523 INFO safe.railway.user.User_01_Login_Logout] - TC03 - Step 01: Login page
[2024-01-24 22:35:46,285 INFO safe.railway.user.User_01_Login_Logout] - TC03 - Step 02: enter emailaddress
[2024-01-24 22:35:46,580 INFO safe.railway.user.User_01_Login_Logout] - TC03 - Step 03: Enter password
[2024-01-24 22:35:46,847 INFO safe.railway.user.User_01_Login_Logout] - TC03 - Step 04: Click login button
[2024-01-24 22:35:47,594 INFO safe.railway.user.User_01_Login_Logout] - TC03 - Step 05: Verify error message
[2024-01-24 22:35:47,700 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:35:47,708 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 01: Login page
